cell_specimen_id,axon.total_length,all_neurites.total_length,basal_dendrite.total_length,dendrite.total_length,dendrite.total_surface_area,axon.total_surface_area,all_neurites.total_surface_area,basal_dendrite.total_surface_area,dendrite.total_volume,axon.total_volume,all_neurites.total_volume,basal_dendrite.total_volume,dendrite.num_tips,axon.num_tips,all_neurites.num_tips,basal_dendrite.num_tips,dendrite.num_nodes,axon.num_nodes,all_neurites.num_nodes,basal_dendrite.num_nodes,dendrite.num_branches,axon.num_branches,all_neurites.num_branches,basal_dendrite.num_branches
601506507,3477.662435,5996.267619,2518.29563,2518.29563,3995.167743,2499.731235,6898.025979,3995.167743,530.9407398,142.9846267,1349.647913,530.9407398,12,20,32,12,1799,1880,3680,1799,22,39,62,22
601790961,14912.93158,19206.26717,4292.374823,4292.374823,7347.795754,10795.20959,19713.74569,7347.795754,1043.51301,626.0877071,4360.726384,1043.51301,24,145,169,24,2840,9492,12333,2840,42,289,336,42
601803754,30913.12897,35022.21177,4108.235412,4108.235412,8148.125626,22220.24579,31727.06436,8148.125626,1368.295134,1270.998059,4699.436513,1368.295134,35,346,381,35,2441,18898,21340,2441,62,691,760,62
601808698,15620.21807,17936.30152,2316.083454,2316.083454,3927.808901,11402.54323,16122.71489,3927.808901,550.8902312,673.6062913,2418.075485,550.8902312,23,242,265,23,1789,11775,13565,1789,42,483,528,42
601810307,19689.73532,22968.65352,3277.729555,3277.729555,5238.191957,14152.91085,20477.69234,5238.191957,681.4107258,809.5465007,3198.411078,681.4107258,27,258,285,27,2149,11433,13583,2149,48,515,568,48
601811091,13722.33118,17191.30054,3468.153958,3468.153958,5258.283559,9863.56224,15789.21753,5258.283559,654.574996,564.1957601,2243.956492,654.574996,21,91,112,21,2710,10158,12869,2710,38,181,222,38
602231708,8618.22913,10044.04537,1425.81624,1425.81624,2532.580062,6264.636856,9538.691693,2532.580062,363.9601203,366.8947256,1716.393623,363.9601203,14,144,158,14,1006,6183,7190,1006,24,287,314,24
602535278,13358.45692,16707.03161,3347.16312,3347.16312,6108.021006,9602.010729,17709.40407,6108.021006,914.2932571,549.2350137,5665.928538,914.2932571,32,175,207,32,2426,9532,11959,2426,58,349,412,58
604646725,6131.888027,9227.277134,3095.389107,3095.389107,4642.238615,4512.760938,9468.250688,4642.238615,555.7355814,278.6042507,1223.325185,555.7355814,17,40,57,17,2059,4009,6069,2059,32,79,112,32
605060256,4195.546863,8999.226818,4803.679955,4803.679955,7362.336133,3048.969602,11004.30308,7362.336133,914.8164944,178.096738,1939.094423,914.8164944,37,51,88,37,3520,2991,6512,3520,71,101,174,71
605160536,4765.865899,7714.608166,2947.842654,2947.842654,4966.594298,3507.212934,8954.79818,4966.594298,679.5923286,209.8741846,1576.833232,679.5923286,26,47,73,26,1616,2693,4310,1616,49,93,144,49
606098116,26724.59086,28809.49838,2082.85946,2082.85946,3883.010156,19210.44328,24142.47259,3883.010156,595.3317948,1098.931145,3309.264166,595.3317948,16,267,283,16,1231,15511,16743,1231,27,533,564,27
606271263,19395.19071,21686.70803,2291.517319,2291.517319,4157.287496,13961.7705,19281.94759,4157.287496,630.2217177,800.9368906,3073.477878,630.2217177,21,333,354,21,1819,14877,16697,1819,35,665,706,35
606308411,16239.97998,18473.40719,2233.427219,2233.427219,3794.469641,11689.61029,16672.71756,3794.469641,525.3711308,671.1549975,2869.603116,525.3711308,22,258,280,22,1635,12139,13775,1635,37,515,558,37
614728680,21142.76571,24272.92101,3130.155297,3130.155297,6447.826017,15475.91345,23860.32878,6447.826017,1120.506183,915.9470372,5815.793331,1120.506183,23,260,283,23,2125,14019,16145,2125,40,519,564,40
623326230,17963.919,21332.95233,3368.013972,3368.013972,5346.364961,12912.40029,20029.11638,5346.364961,693.192036,738.5892966,4455.132645,693.192036,34,336,370,34,2619,13809,16429,2619,60,671,738,60
623415197,7051.231454,8778.332895,1727.101441,1727.101441,2603.876307,5068.399778,8556.154528,2603.876307,313.4526805,289.9124673,1754.132494,313.4526805,20,108,128,20,1434,5242,6677,1434,34,215,254,34
623434306,12564.59904,15019.35351,2453.462748,2453.462748,4940.705155,9034.888145,14796.03381,4940.705155,880.8488681,517.6303874,2543.43143,880.8488681,21,120,141,21,1925,9642,11568,1925,36,239,280,36
626153003,5790.842121,9134.732459,3343.890338,3343.890338,5486.134991,4269.461898,12049.95202,5486.134991,733.6024641,257.7479438,5164.27725,733.6024641,31,94,125,31,2447,4028,6476,2447,56,187,248,56
627881581,21024.07545,24432.74553,3406.600523,3406.600523,5532.251333,15112.02973,22130.74655,5532.251333,734.3792413,864.4081003,3933.45698,734.3792413,24,247,271,24,2236,14211,16448,2236,43,493,540,43
637846989,5026.487811,9285.971299,4259.483487,4259.483487,6640.434476,3613.159992,11614.83447,6640.434476,848.536997,206.6823684,3314.954648,848.536997,55,64,119,55,2343,3306,5650,2343,105,127,236,105
638212024,2309.320825,4914.165089,2604.844264,2604.844264,4093.709146,1676.996202,6521.165656,4093.709146,520.7529523,98.17155679,1693.490056,520.7529523,29,23,52,29,2140,1929,4070,2140,54,45,102,54
639004612,5258.782314,8205.984897,2946.765824,2946.765824,4992.537648,3781.082872,9047.564147,4992.537648,702.7172511,216.4281108,1289.907448,702.7172511,23,41,64,23,1804,3213,5018,1804,44,81,126,44
639013022,4035.905499,7504.353958,3467.456768,3467.456768,5176.293931,2916.020301,8433.809975,5176.293931,619.381607,168.4813654,1213.1674,619.381607,42,55,97,42,2155,2673,4829,2155,81,109,192,81
639674270,5517.132556,8856.359484,3338.095512,3338.095512,5208.650041,3966.383313,9671.930993,5208.650041,660.3945703,226.9519199,1629.565664,660.3945703,19,53,72,19,2566,3953,6520,2566,35,105,142,35
639708328,5523.08328,9069.438774,3546.355494,3546.355494,5367.447606,3975.249868,10028.49681,5367.447606,658.8152258,228.9181269,1953.852445,658.8152258,21,44,65,21,2548,3934,6483,2548,39,87,128,39
639797308,18921.4485,21373.34218,2451.89368,2451.89368,4408.078535,13601.9702,19450.28778,4408.078535,665.8028205,778.2282323,3982.420718,665.8028205,25,214,239,25,1421,11624,13046,1421,45,427,476,45
639809582,9755.296874,14443.831,4687.207156,4687.207156,8175.027213,7082.682406,16709.37618,8175.027213,1186.884483,413.1868392,4786.2501,1186.884483,23,73,96,23,2766,6152,8919,2766,42,144,189,42
639818525,18060.94023,20632.45662,2571.516385,2571.516385,4088.634019,12982.58656,17480.71429,4088.634019,529.2529409,742.6465053,1755.663037,529.2529409,25,190,215,25,1703,11976,13680,1703,47,379,428,47
639841063,28967.39397,32478.01923,3510.111136,3510.111136,5431.826283,21099.52171,27316.64679,5431.826283,678.6014956,1237.868918,3007.330791,678.6014956,25,336,361,25,2239,18250,20490,2239,45,671,720,45
639862877,18636.70682,22649.25031,4011.575096,4011.575096,6727.019221,13395.99775,21055.91243,6727.019221,946.8843805,766.2510715,3194.566104,946.8843805,28,245,273,28,2964,12970,15935,2964,51,489,544,51
639881631,12018.61224,14469.60272,2450.233075,2450.233075,4393.935778,8638.9352,14195.86715,4393.935778,643.3240274,494.1470934,2839.444382,643.3240274,25,190,215,25,1678,7631,9310,1678,44,379,428,44
639893239,10439.12503,13616.04447,3176.919439,3176.919439,5093.552434,7569.658282,14023.05552,5093.552434,670.4427952,440.3619188,3473.761849,670.4427952,22,94,116,22,2266,7218,9485,2266,39,187,230,39
639962984,17995.27086,20670.15973,2673.503792,2673.503792,4431.980933,13216.82537,18643.92919,4431.980933,609.2594364,787.3050929,3002.443989,609.2594364,19,196,215,19,1486,10720,12207,1486,33,391,428,33
640006296,187.0367425,7001.898724,3349.268008,6813.653665,13193.30147,134.441337,14691.24126,6505.351964,2292.722216,7.690044478,4629.522264,1069.33028,67,1,68,37,5094,161,5256,2587,127,1,134,68
640012241,33.44081788,4512.442852,2450.639407,4477.521961,7184.277726,24.78116973,9965.081332,3856.447768,941.7923311,1.504494051,6251.754311,488.8872664,42,1,43,26,3202,27,3230,1731,74,1,84,43
640061596,2687.114249,8185.634041,5496.14526,5496.14526,10463.33027,1947.073743,13700.06652,10463.33027,1804.209347,113.1136829,4223.725037,1804.209347,24,18,42,24,3233,1721,4955,3233,43,35,82,43
640111844,8574.106754,12305.75467,3731.647917,3731.647917,5880.527984,6165.923837,14339.92714,5880.527984,748.1693384,353.3253301,5862.954389,748.1693384,21,65,86,21,2342,5515,7858,2342,36,129,170,36
640280740,3037.759856,6766.791103,3727.19858,3727.19858,5912.105284,2183.826473,8585.987086,5912.105284,780.2703563,124.9365015,1642.37426,780.2703563,48,47,95,48,2643,1846,4490,2643,93,93,188,93
642124659,8093.822041,11355.51991,3261.697864,3261.697864,5216.981136,5848.438255,13771.82041,5216.981136,678.3327714,337.7411231,4730.832045,678.3327714,30,79,109,30,1706,3293,5000,1706,54,157,216,54
643021973,9249.757284,13316.92975,4065.689671,4065.689671,7326.633109,6648.828746,14534.03006,7326.633109,1123.953238,380.3224309,2599.670443,1123.953238,36,116,152,36,2604,5878,8483,2604,70,231,302,70
643536919,5723.09245,10183.50149,4460.409044,4460.409044,6983.161868,4119.330382,11899.5105,6983.161868,889.3014672,237.0872078,2388.935249,889.3014672,29,48,77,29,3269,3874,7144,3269,55,95,152,55
643702874,3854.147453,6316.845506,2462.698053,2462.698053,3710.499769,2798.47694,7428.392339,3710.499769,447.4600934,163.6592925,2056.993769,447.4600934,31,53,84,31,1893,2819,4713,1893,58,105,166,58
643727497,3369.636047,5304.936742,1935.300695,1935.300695,3678.518708,2492.111156,7266.032641,3678.518708,645.5935653,150.6389954,2560.317044,645.5935653,18,32,50,18,1378,2350,3729,1378,31,63,98,31
643754730,3994.306091,7544.712846,3550.406755,3550.406755,6020.068178,2919.142861,10248.15859,6020.068178,873.873113,173.1340386,3822.874346,873.873113,25,40,65,25,2406,2673,5080,2406,48,79,128,48
644571405,6812.524251,8097.97471,1285.450459,1285.450459,2628.525757,4897.813603,8883.495067,2628.525757,446.3454515,280.282696,2898.738495,446.3454515,17,81,98,17,992,5010,6003,992,28,161,194,28
644920227,6394.427434,9811.606525,3417.179091,3417.179091,5678.103014,4597.909621,10681.39072,5678.103014,771.7817512,263.1531848,1498.122111,771.7817512,45,66,111,45,2044,4107,6152,2044,87,131,220,87
644941196,10476.26968,13739.96927,3261.594382,3261.594382,5200.734948,7530.304924,13612.8353,5200.734948,668.6828244,430.7334416,2564.314807,668.6828244,24,92,116,24,2036,6098,8135,2036,44,183,230,44
644994103,14896.79435,17974.2211,3077.426753,3077.426753,4669.777813,10721.79184,16305.7386,4669.777813,568.0514746,614.9103339,2430.217555,568.0514746,46,177,223,46,1822,8837,10660,1822,87,353,444,87
645012440,8056.808094,10492.43721,2435.629118,2435.629118,3963.631836,5791.391165,10418.83779,3963.631836,520.9427957,331.2812083,1704.844682,520.9427957,13,62,75,13,1335,4634,5970,1335,22,123,148,22
645057881,9199.153933,12056.30916,2856.047115,2856.047115,5718.82931,6612.318722,13361.6802,5718.82931,973.3965299,378.2246309,3332.722057,973.3965299,23,46,69,23,2179,6795,8975,2179,42,91,136,42
645169930,16656.74482,18760.54286,2103.79804,2103.79804,3372.604417,11973.33738,16756.22746,3372.604417,467.8096588,684.9164275,3287.493364,467.8096588,35,164,199,35,1597,11157,12755,1597,63,327,396,63
645322005,15735.20185,19498.24499,3763.043145,3763.043145,5874.835143,11316.42107,19411.07185,5874.835143,750.6584157,648.744619,6036.302715,750.6584157,26,164,190,26,2418,9896,12315,2418,48,327,378,48
645355846,13263.4073,15098.45297,1835.045674,1835.045674,3336.738183,9585.72666,13697.62771,3336.738183,514.1527595,554.0793314,2184.64117,514.1527595,14,243,257,14,1309,9277,10587,1309,24,485,512,24
646805498,17037.02277,20143.20054,3106.177773,3106.177773,5286.671779,12246.30277,19150.84885,5286.671779,754.6755575,700.499263,4288.010511,754.6755575,19,170,189,19,1925,11574,13500,1925,32,339,376,32
646852171,13503.52654,14811.94604,1308.419499,1308.419499,2504.45712,9941.062891,13350.35484,2504.45712,405.2303886,593.3337995,2424.459122,405.2303886,11,220,231,11,984,9041,10026,984,18,439,460,18
647045788,17220.33184,21266.3162,4045.984357,4045.984357,8658.783443,12378.61785,23819.7394,8658.783443,1603.941839,708.138382,7728.59399,1603.941839,25,194,219,25,3289,12814,16104,3289,41,387,436,41
648139266,2839.862833,5859.980443,3019.566452,3019.566452,5803.930101,2180.029882,8267.793005,5803.930101,955.1061559,140.2823665,1502.864605,955.1061559,27,45,72,27,2419,2194,4614,2419,52,89,142,52
648582997,11284.64549,14207.83428,2922.350003,2922.350003,4765.467821,8111.362547,13773.04036,4765.467821,660.1640982,463.9699377,2409.866818,660.1640982,34,128,162,34,1840,6541,8382,1840,63,255,322,63
649387261,15920.14472,19106.55723,3184.069087,3184.069087,5169.952364,11443.3427,17702.43993,5169.952364,684.5215456,654.5592022,2977.364893,684.5215456,24,164,188,24,1699,9890,11590,1699,45,327,374,45
652299236,6642.341801,8767.827742,2125.48594,2125.48594,3681.238218,4780.119593,9068.732313,3681.238218,516.4958567,274.9527055,1581.407886,516.4958567,17,85,102,17,1608,5156,6765,1608,30,169,202,30
652300499,29906.08074,32707.8977,2801.816961,2801.816961,5576.044489,21915.54986,29449.87252,5576.044489,923.2264591,1297.393549,5465.934067,923.2264591,38,287,325,38,1714,19876,21591,1714,68,573,648,68
652305423,22709.59398,24962.73114,2253.137165,2253.137165,4022.146227,20376.87905,25374.87111,4022.146227,588.868432,1512.070183,3554.237614,588.868432,28,337,365,28,1633,13254,14888,1633,51,673,728,51
652306478,29402.99244,32412.42387,3008.809663,3008.809663,4686.340725,21134.76509,26838.10566,4686.340725,593.2403142,1208.908563,3490.172566,593.2403142,20,304,324,20,2396,21766,24163,2396,35,607,646,35
652516963,4714.07451,5813.698589,1099.62408,1099.62408,1998.820744,3588.569169,6252.007084,1998.820744,298.4708477,228.5901543,1536.71128,298.4708477,12,35,47,12,894,3648,4543,894,21,69,92,21
